X,Y,Depth (m)
363355.4430588392,5801003.537004729,5.62
363355.8987690363,5801003.623424055,5.63
363356.4329768828,5801003.615289909,5.64
363356.95121818804,5801003.523012348,4.56
363357.41147188796,5801003.404518252,3.47
363357.8113861772,5801003.248743055,5.68
363358.16067942197,5801003.086580609,5.71
363358.4672143106,5801002.931168612,5.71
363358.725606072,5801002.760396834,5.73
363358.96638318966,5801002.56896692,5.75
363359.2015261017,5801002.371015382,5.76
363359.4393936396,5801002.172988307,5.77
363359.6786235003,5801001.974923476,5.78
363359.92921433353,5801001.793238298,5.79
363360.17757672037,5801001.604937065,5.81
363360.43488660466,5801001.419726693,5.82
363360.7156640204,5801001.244995431,5.84
363361.01604068757,5801001.064155897,5.87
363361.348554856,5801000.886877243,5.88
363361.7345380806,5801000.720358872,5.88
363362.16064483393,5801000.574987592,5.90
363362.60832983814,5801000.445712718,5.93
363363.07232608035,5801000.3638436105,5.94
363363.53765380604,5801000.280824656,5.95
363364.0257034309,5801000.230565048,5.97
363364.5057025748,5801000.1849805955,5.98
363364.9878657083,5801000.168273565,6.00
363365.4579531088,5801000.158579241,6.00
363365.9298961506,5801000.166641125,6.02
363366.40595693456,5801000.175701868,6.03
363366.89756087743,5801000.179879821,6.04
363367.4058544521,5801000.171352374,6.06
363367.92133236735,5801000.151496035,6.07
363368.42544935644,5801000.115260092,6.10
363368.8995311675,5801000.102116424,6.11
363369.3574839904,5801000.07272533,6.13
363369.8382539936,5801000.05494442,6.14
363370.3303849197,5801000.053543229,6.15
363370.8288620395,5801000.059756973,6.16
363371.4008699022,5801000.087304699,6.17
363372.02414915024,5801000.120108909,6.18
363372.6572111713,5801000.161545789,6.23
363373.2968043611,5801000.217270369,6.23
363373.9488740913,5801000.280439968,6.24
363374.60264810896,5801000.331319672,6.27
363375.21066160104,5801000.379016184,6.28
363375.7596980629,5801000.389393641,6.30
363376.282915272,5801000.378227426,6.30
363376.8034724021,5801000.344875497,6.32
363377.37371993065,5801000.333518562,6.34
363377.96994372667,5801000.32478049,6.36
363378.55446749076,5801000.287429474,6.36
363379.15280791995,5801000.182916953,6.40
363379.7322052003,5801000.03441062,6.44
363380.2886928712,5800999.8709578,6.48
363380.81283018447,5800999.671673663,6.47
363381.3230670254,5800999.462758147,6.50
363381.8003619665,5800999.245852091,6.53
363382.2750864889,5800999.034582215,6.52
363382.74408436514,5800998.813454359,6.54
363383.23367099656,5800998.597320677,6.55
363383.7294496988,5800998.383241343,6.60
363384.23408051697,5800998.193402135,6.61
363384.741867592,5800998.019057144,6.62
363385.25668202835,5800997.852308232,6.64
363385.7729483772,5800997.713343518,6.65
363386.2848474629,5800997.588968607,6.68
363386.7698116844,5800997.451984698,6.69
363387.24957334204,5800997.324048862,6.71
363387.71825161274,5800997.189742457,6.75
363388.1740496685,5800997.058019095,6.74
363388.63591646194,5800996.923901599,6.75
363389.1073810697,5800996.791744041,6.77
363389.5941422688,5800996.645806801,6.79
363390.07895545603,5800996.478777069,6.81
363390.5502102169,5800996.289863715,6.83
363390.9938827433,5800996.064986787,6.85
363391.42696808686,5800995.827047668,6.88
363391.84435907734,5800995.563945194,6.89
363392.25382584636,5800995.2854807535,6.91
363392.6686494,5800995.003528935,6.91
363393.08263771096,5800994.716035429,6.95
363393.5060697264,5800994.424941259,6.98
363393.9354163761,5800994.125892349,6.99
363394.3627504462,5800993.828012242,7.00
363394.8088177509,5800993.517370176,7.02
363395.26315142715,5800993.2098379405,7.05
363395.7201143274,5800992.923379408,7.06
363396.1894613407,5800992.641029549,7.08
363396.66763257,5800992.357322167,7.11
363397.15149968944,5800992.082360754,7.12
363397.6439722681,5800991.82274252,7.13
363398.1345555691,5800991.568741582,7.14
363398.63355936634,5800991.323411098,7.16
363399.1370200432,5800991.091312838,7.18
363399.64936658385,5800990.860081304,7.20
363400.16539636906,5800990.638764516,7.22
363400.6683301581,5800990.4122458985,7.23
363401.1744231542,5800990.176735966,7.25
363401.67274608125,5800989.931424673,7.26
363402.1767032354,5800989.69263512,7.28
363402.6680914236,5800989.443064247,7.30
363403.16635284456,5800989.195528866,7.32
363403.66560672177,5800988.934610326,7.35
363404.1646757014,5800988.667019111,7.36
363404.66572654527,5800988.397147065,7.38
363405.1631559023,5800988.11958462,7.40
363405.65231899696,5800987.838912417,7.42
363406.1327504462,5800987.56293418,7.44
363406.61776507826,5800987.280151109,7.44
363407.1203634438,5800987.016914287,7.46
363407.62769911415,5800986.7524332395,7.48
363408.134199564,5800986.48241052,7.49
363408.63877990184,5800986.216892975,7.51
363409.147447216,5800985.951262209,7.53
363409.6570731497,5800985.6956217075,7.53
363410.1790832,5800985.444089926,7.55
363410.7040028578,5800985.199155412,7.56
363411.22916915204,5800984.9631179245,7.59
363411.7563481338,5800984.725911736,7.59
363412.2955074827,5800984.502842246,7.60
363412.8290327084,5800984.273251114,7.61
363413.36011077,5800984.053744647,7.62
363413.8932015167,5800983.833069481,7.64
363414.42489917856,5800983.6113200085,7.65
363414.95514211064,5800983.386271988,7.66
363415.4864083533,5800983.148952937,7.66
363416.01974893035,5800982.912689431,7.65
363416.55442104314,5800982.675276104,7.67
363417.0814155766,5800982.431397769,7.68
363417.6068320994,5800982.179772397,7.69
363418.14246599085,5800981.927863916,7.71
363418.6798629235,5800981.690375316,7.73
363419.2091168737,5800981.454225426,7.72
363419.7459252151,5800981.220092184,7.75
363420.28415755683,5800980.988145487,7.74
363420.8167249637,5800980.748565021,7.76
363421.35430707,5800980.5177494455,7.77
363421.8919508663,5800980.289158167,7.75
363422.43464017904,5800980.0704439,7.77
363422.9745432781,5800979.849580961,7.79
363423.51877991506,5800979.637501788,7.80
363424.0664223704,5800979.425328293,7.81
363424.6112169713,5800979.208781879,7.81
363425.15693933284,5800979.0011136215,7.82
363425.7006182739,5800978.793502055,7.83
363426.25141700497,5800978.596822994,7.85
363426.79144057777,5800978.404894505,7.85
363427.344930066,5800978.231513483,7.85
363427.8995661648,5800978.050309923,7.85
363428.4590628447,5800977.872310655,7.86
363429.00072625617,5800977.690353748,7.88
363429.53396929335,5800977.499726445,7.87
363430.06284806936,5800977.299203367,7.88
363430.5853499406,5800977.089953262,7.88
363431.1169842384,5800976.890466915,7.89
363431.64289196953,5800976.681122542,7.91
363432.1808108386,5800976.487027036,7.91
363432.71052506764,5800976.292045975,7.91
363433.2401468818,5800976.093728608,7.93
363433.7783463923,5800975.885156827,7.93
363434.31088097894,5800975.668951262,7.93
363434.8307850016,5800975.439740056,7.95
363435.3255787772,5800975.2145636575,7.95
363435.8076771855,5800974.998642907,7.95
363436.29550540587,5800974.768094754,7.95
363436.7886596443,5800974.532947163,7.97
363437.3135816962,5800974.288015527,7.97
363437.89101758355,5800974.019369278,7.98
363438.4879296891,5800973.740166636,8.00
363439.11280005437,5800973.461302322,7.98
363439.7488186995,5800973.166547523,8.00
363440.3952428442,5800972.853696874,8.01
363441.05132651294,5800972.545030554,8.02
363441.7037271371,5800972.226449603,8.00
363442.3668722549,5800971.902006145,8.03
363443.0448488054,5800971.571586939,8.03
363443.72889421537,5800971.238773718,8.02
363444.40343434794,5800970.907336951,8.04
363445.0918474273,5800970.55993423,8.05
363445.7839777536,5800970.199072907,8.06
363446.4766352591,5800969.8326322045,8.05
363447.1434737908,5800969.444647502,8.04
363447.7788219389,5800969.076456011,8.05
