"UTC,""Depth..m."",""mid_latitude"",""mid_longitude"""
150539,9.02,52.342174575,12.99763712
150540,9.02,52.342175595,12.99762491
150541,9.02,52.34217681,12.99761254
150542,9.04,52.342178205,12.99759989
150543,9.06,52.34217974,12.997587495
150546,9.06,52.3421848,12.99755069
150547,9.07,52.342186675,12.997538115
150548,9.08,52.342188825,12.997525625
150549,9.09,52.342191055,12.997513135
150550,9.11,52.342193225,12.99750046
150551,9.1,52.342195365,12.997487735
150552,9.1,52.34219759,12.99747517
150553,9.1,52.34219984,12.997462695
150554,9.09,52.34220199,12.997450155
150555,9.1,52.342204105,12.997437545
150556,9.1,52.342206275,12.997424785
150557,9.1,52.342208505,12.9974119
150558,9.1,52.34221055,12.997399005
150610,9.06,52.3422314,12.99724361
150614,9.02,52.342239445,12.997192275
150621,8.97,52.342251835,12.99710317
150624,8.91,52.342256465,12.99706545
150628,8.9,52.34226281,12.997014765
150633,8.8,52.342272085,12.996951405
150636,8.78,52.34227943,12.996914325
150638,8.69,52.34228422,12.99689007
150640,8.68,52.342289555,12.996865695
150640,8.7,52.342289555,12.996865695
150642,8.66,52.342295355,12.99684188
150643,8.64,52.342297945,12.996830505
150644,8.63,52.342300385,12.996819295
150645,8.63,52.342302695,12.9968078
150646,8.6,52.342305225,12.996796185
150647,8.58,52.3423081,12.99678477
150648,8.56,52.34231109,12.99677326
150649,8.54,52.34231408,12.99676162
150650,8.51,52.342317025,12.996750015
150651,8.48,52.342319855,12.996738305
150652,8.47,52.34232252,12.99672634
150653,8.45,52.342325325,12.9967143
150654,8.42,52.34232837,12.996702425
150655,8.39,52.34233143,12.99669062
150656,8.37,52.34233449,12.996678605
150657,8.33,52.34233758,12.996666425
150658,8.3,52.342340755,12.996654245
150659,8.27,52.342343945,12.99664198
150660,8.24,NA,NA
150701,8.22,52.342349745,12.996617665
150702,8.2,52.34235233,12.996605515
150703,8.17,52.34235488,12.99659326
150704,8.14,52.34235749,12.996580965
150705,8.1,52.34236013,12.996568765
150706,8.07,52.34236271,12.99655667
150707,8.05,52.342365235,12.996544505
150708,8.02,52.342367845,12.99653229
150709,7.99,52.34237064,12.99652014
150710,7.96,52.342373675,12.99650813
150711,7.92,52.342376765,12.996496115
150712,7.89,52.34237964,12.996484
150713,7.85,52.34238232,12.99647173
150714,7.82,52.34238501,12.996459345
150715,7.79,52.34238789,12.996446945
150716,7.76,52.342390805,12.996434395
150717,7.74,52.34239367,12.99642183
150718,7.71,52.342396415,12.996409495
150719,7.69,52.3423988,12.996397435
150720,7.68,52.342400785,12.996385345
150721,7.65,52.34240272,12.9963731
150722,7.63,52.3424049,12.996360825
150723,7.61,52.34240719,12.99634867
150724,7.56,52.34240953,12.996336685
150725,7.55,52.342411775,12.99632453
150726,7.54,52.34241391,12.99631218
150727,7.52,52.342416065,12.996299865
150727,7.5,52.342416065,12.996299865
150729,7.49,52.342420435,12.99627529
150730,7.48,52.342422785,12.99626295
150731,7.45,52.342425335,12.996250395
150732,7.44,52.342427915,12.996237955
150733,7.42,52.342430445,12.99622572
150734,7.41,52.34243281,12.99621332
150735,7.39,52.34243508,12.996200865
150736,7.38,52.34243745,12.99618847
150737,7.36,52.342439975,12.99617609
150738,7.35,52.34244251,12.996163475
150739,7.33,52.34244502,12.996150815
150740,7.32,52.34244759,12.99613847
150741,7.29,52.342450065,12.996126355
150742,7.28,52.34245221,12.996114155
150743,7.27,52.342454155,12.99610168
150744,7.25,52.34245638,12.99608912
150745,7.25,52.342458905,12.996076775
150746,7.25,52.3424613,12.99606445
150747,7.24,52.34246348,12.99605196
150748,7.24,52.342465645,12.99603935
150749,7.22,52.34246801,12.996026755
150750,7.22,52.342470355,12.996014395
150751,7.21,52.342472495,12.9960022
150752,7.19,52.34247448,12.99598987
150753,7.17,52.342476435,12.995977355
150754,7.15,52.342478655,12.995964725
150755,7.15,52.342481195,12.995952165
150756,7.14,52.342483715,12.99593957
150757,7.12,52.342485945,12.995926715
150758,7.1,52.34248805,12.99591386
150759,7.09,52.34249008,12.995900945
150760,7.07,NA,NA
150801,7.07,52.3424943,12.995875025
150802,7.06,52.342496195,12.995861955
150803,7.06,52.342497945,12.995848885
150804,7.06,52.34249953,12.99583581
150805,7.05,52.34250095,12.99582279
150806,7.04,52.3425022,12.99580975
150807,7.02,52.342503475,12.995796595
150808,7.02,52.342504865,12.995783425
150809,7.01,52.342506265,12.995770245
150810,6.99,52.34250771,12.995757005
150811,6.97,52.342509175,12.99574379
150812,6.98,52.342510575,12.99573053
150813,6.96,52.342511955,12.99571723
150814,6.95,52.34251344,12.995704045
150815,6.94,52.34251504,12.99569085
150816,6.91,52.34251667,12.995677615
150821,6.85,52.342525455,12.995612325
150822,6.85,52.342527165,12.99559933
150823,6.84,52.34252897,12.995586475
150824,6.81,52.34253083,12.99557382
150825,6.8,52.34253256,12.99556108
150826,6.8,52.34253422,12.99554816
150827,6.78,52.342535945,12.995535165
150828,6.75,52.342537905,12.995522245
150829,6.75,52.342539945,12.99550946
150830,6.74,52.342541755,12.995496645
150831,6.71,52.34254336,12.99548363
150832,6.7,52.34254501,12.99547077
150833,6.67,52.342546525,12.99545815
150834,6.66,52.34254775,12.995445535
150835,6.65,52.342548765,12.99543286
150836,6.63,52.342549705,12.995420025
150837,6.6,52.34255092,12.995407205
150838,6.58,52.34255226,12.995394565
150839,6.51,52.342553455,12.99538196
150840,6.54,52.342554545,12.99536922
150841,6.52,52.34255565,12.995356495
150842,6.47,52.342556905,12.99534386
150843,6.48,52.342558215,12.995331225
150844,6.48,52.3425595,12.995318545
150845,6.44,52.34256093,12.995305855
150846,6.42,52.34256241,12.995293175
150847,6.37,52.34256387,12.995280355
150848,6.33,52.34256547,12.995267545
150849,6.31,52.342567095,12.99525485
150850,6.3,52.342568725,12.995242305
150851,6.28,52.34257013,12.99522971
150852,6.23,52.342571435,12.99521706
150853,6.22,52.34257285,12.995204405
150854,6.2,52.34257415,12.995191815
150855,6.16,52.34257526,12.995179445
150857,6.07,52.34257709,12.99515473
150911,5.66,52.34259532,12.99497529
150915,5.48,52.3425989,12.99492309
150916,5.43,52.3425999,12.9949099
150918,5.36,52.342601775,12.994883765
150920,5.33,52.34260271,12.99485787
150920,5.3,52.34260271,12.99485787
150921,5.26,52.34260299,12.99484492
150923,5.23,52.34260374,12.994819805
150924,5.2,52.34260427,12.99480729
150927,5.13,52.342605545,12.99476938
150928,5.1,52.342605835,12.9947571
150929,5.08,52.342605915,12.99474464
150930,5.06,52.342605995,12.99473194
150931,5.06,52.34260637,12.994719155
150932,5.07,52.342606975,12.994706585
150933,5.05,52.34260773,12.994694235
150934,5.03,52.34260845,12.994681615
150935,4.99,52.342609325,12.99466879
150936,4.97,52.34261074,12.994656095
150937,4.92,52.342612375,12.99464353
150938,4.87,52.342613825,12.994630895
150939,4.86,52.342615115,12.994618135
150940,4.83,52.34261636,12.994605295
150941,4.79,52.342617635,12.9945925
150942,4.77,52.342619065,12.994579975
150943,4.73,52.34262033,12.99456737
150944,4.72,52.342621385,12.994554605
150945,4.69,52.342622585,12.99454176
150946,4.65,52.34262394,12.994528915
150947,4.63,52.342625305,12.994516275
150948,4.6,52.342626515,12.99450356
150949,4.57,52.342627595,12.99449068
150950,4.54,52.34262885,12.99447769
150951,4.51,52.34263012,12.994464745
150952,4.49,52.342631085,12.994452015
150953,4.45,52.342631685,12.99443932
150954,4.44,52.34263242,12.994426535
150955,4.41,52.34263331,12.994413625
150956,4.39,52.34263424,12.99440093
150957,4.37,52.342635265,12.9943885
150958,4.34,52.34263595,12.99437593
150959,4.33,52.3426362,12.994363155
150960,4.32,NA,NA
151001,4.29,52.3426362,12.9943388
151002,4.28,52.342635895,12.994327575
151003,4.28,52.34263567,12.99431661
151004,4.25,52.342635335,12.99430509
151005,4.24,52.34263518,12.99429315
151006,4.22,52.342635275,12.99428135
151007,4.2,52.34263518,12.99426956
151008,4.19,52.34263494,12.994257655
151009,4.17,52.342634805,12.99424538
151010,4.14,52.342634835,12.99423278
151011,4.12,52.342635135,12.99422023
151012,4.1,52.342635585,12.99420765
151013,4.09,52.342636045,12.994194955
151014,4.04,52.34263656,12.99418214
151015,4.04,52.342637235,12.994169155
151016,4.02,52.34263816,12.994156245
151017,3.99,52.3426391,12.99414354
151018,3.97,52.34263982,12.99413081
151019,3.95,52.34264039,12.99411803
151020,3.92,52.34264096,12.99410514
151021,3.92,52.34264158,12.994092225
151022,3.9,52.342642435,12.994079895
151023,3.88,52.34264337,12.994068215
151024,3.86,52.34264384,12.99405646
151025,3.85,52.34264384,12.99404437
151026,3.83,52.342643775,12.994032145
151027,3.81,52.34264349,12.994020275
151401,5.67,52.342229155,12.994053705
151402,5.67,52.34222998,12.994054495
151403,5.67,52.34223083,12.994055335
151404,5.67,52.34223169,12.99405612
151405,5.67,52.342232495,12.994056925
151406,5.66,52.342233305,12.99405776
151407,5.67,52.34223408,12.99405856
151408,5.67,52.342234855,12.99405933
151409,5.66,52.34223558,12.99406007
151410,5.66,52.34223628,12.994060765
151411,5.66,52.342236985,12.99406148
151412,5.66,52.34223771,12.99406215
151413,5.66,52.342238395,12.994062745
151414,5.66,52.34223903,12.994063395
151415,5.67,52.34223965,12.994064045
151416,5.67,52.342240175,12.994064715
151417,5.66,52.342240775,12.994065465
151418,5.66,52.342241425,12.994066275
151419,5.66,52.342242045,12.994067065
151420,5.66,52.34224271,12.994067805
151421,5.65,52.342243415,12.99406845
151422,5.65,52.342244105,12.99406902
151423,5.65,52.342244735,12.994069695
151424,5.65,52.342245355,12.99407051
151425,5.66,52.342246025,12.99407141
151426,5.66,52.342246775,12.994072385
151427,5.66,52.342247575,12.99407331
151428,5.65,52.34224846,12.994073945
151429,5.64,52.342249375,12.994074135
151430,5.64,52.34225075,12.99407242
151431,5.63,52.34225254,12.99406881
151432,5.62,52.34225413,12.99406539
151433,5.61,52.34225548,12.99406266
151434,5.59,52.34225665,12.994060395
151435,5.59,52.34225777,12.994058475
151436,5.58,52.34225888,12.99405678
151437,5.57,52.342259965,12.994055175
151438,5.56,52.34226107,12.994053665
151439,5.56,52.342262195,12.994052355
151440,5.55,52.342263275,12.99405112
151441,5.54,52.342264325,12.99404999
151442,5.53,52.342265365,12.994048995
