"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
150509,8.14,"52.34224159","12.99794410"
150510,8.17,"52.34223755","12.99793357"
150511,8.2,"52.34223378","12.99792306"
150512,8.26,"52.34222999","12.99791242"
150513,8.28,"52.34222611","12.99790156"
150514,8.36,"52.34222207","12.99789049"
150515,8.43,"52.34221806","12.99787971"
150516,8.47,"52.34221451","12.99786997"
150517,8.51,"52.34221124","12.99786099"
150518,8.54,"52.34220745","12.99785216"
150519,8.57,"52.34220343","12.99784309"
150520,8.57,"52.34220009","12.99783364"
150521,8.61,"52.34219753","12.99782459"
150522,8.63,"52.34219527","12.99781588"
150523,8.66,"52.34219261","12.99780699"
150524,8.65,"52.34218974","12.99779818"
150525,8.69,"52.34218675","12.99778922"
150526,8.72,"52.34218373","12.99777942"
150527,8.75,"52.34218125","12.99776959"
150528,8.78,"52.34217922","12.99775920"
150529,8.82,"52.34217741","12.99774766"
150530,8.85,"52.34217622","12.99773642"
150531,8.87,"52.34217535","12.99772547"
150532,8.89,"52.34217442","12.99771400"
150533,8.91,"52.34217377","12.99770283"
150534,8.93,"52.34217333","12.99769140"
150535,8.95,"52.34217307","12.99767955"
150536,8.97,"52.34217313","12.99766786"
150537,8.99,"52.34217345","12.99765576"
150538,9.01,"52.34217411","12.99764327"
150539,9.02,"52.34217504","12.99763097"
150540,9.02,"52.34217615","12.99761885"
150541,9.02,"52.34217747","12.99760623"
150542,9.04,"52.34217894","12.99759355"
150543,9.06,"52.34218054","12.99758144"
150546,9.06,"52.34218565","12.99754441"
150547,9.07,"52.34218770","12.99753182"
150548,9.08,"52.34218995","12.99751943"
150549,9.09,"52.34219216","12.99750684"
150550,9.11,"52.34219429","12.99749408"
150551,9.1,"52.34219644","12.99748139"
150552,9.1,"52.34219874","12.99746895"
150553,9.1,"52.34220094","12.99745644"
150554,9.09,"52.34220304","12.99744387"
150555,9.1,"52.34220517","12.99743122"
150556,9.1,"52.34220738","12.99741835"
150557,9.1,"52.34220963","12.99740545"
150558,9.1,"52.34221147","12.99739256"
150610,9.06,"52.34223231","12.99723726"
150614,9.02,"52.34224050","12.99718601"
150621,8.97,"52.34225261","12.99709704"
150624,8.91,"52.34225736","12.99705914"
150628,8.9,"52.34226361","12.99700830"
150633,8.8,"52.34227323","12.99694511"
150636,8.78,"52.34228071","12.99690834"
150638,8.69,"52.34228544","12.99688395"
150640,8.7,"52.34229107","12.99685953"
150640,8.68,"52.34229107","12.99685953"
150642,8.66,"52.34229667","12.99683609"
150643,8.64,"52.34229922","12.99682492"
150644,8.63,"52.34230155","12.99681367"
150645,8.63,"52.34230384","12.99680193"
150646,8.6,"52.34230661","12.99679044"
150647,8.58,"52.34230959","12.99677910"
150648,8.56,"52.34231259","12.99676742"
150649,8.54,"52.34231557","12.99675582"
150650,8.51,"52.34231848","12.99674421"
150651,8.48,"52.34232123","12.99673240"
150652,8.47,"52.34232381","12.99672028"
150653,8.45,"52.34232684","12.99670832"
150654,8.42,"52.34232990","12.99669653"
150655,8.39,"52.34233296","12.99668471"
150656,8.37,"52.34233602","12.99667250"
150657,8.33,"52.34233914","12.99666035"
150658,8.3,"52.34234237","12.99664814"
150659,8.27,"52.34234552","12.99663582"
150660,8.24,NA,NA
150701,8.22,"52.34235107","12.99661163"
150702,8.2,"52.34235359","12.99659940"
150703,8.17,"52.34235617","12.99658712"
150704,8.14,"52.34235881","12.99657481"
150705,8.1,"52.34236145","12.99656272"
150706,8.07,"52.34236397","12.99655062"
150707,8.05,"52.34236650","12.99653839"
150708,8.02,"52.34236919","12.99652619"
150709,7.99,"52.34237209","12.99651409"
150710,7.96,"52.34237526","12.99650217"
150711,7.92,"52.34237827","12.99649006"
150712,7.89,"52.34238101","12.99647794"
150713,7.85,"52.34238363","12.99646552"
150714,7.82,"52.34238639","12.99645317"
150715,7.79,"52.34238939","12.99644072"
150716,7.76,"52.34239222","12.99642807"
150717,7.74,"52.34239512","12.99641559"
150718,7.71,"52.34239771","12.99640340"
150719,7.69,"52.34239989","12.99639147"
150720,7.68,"52.34240168","12.99637922"
150721,7.65,"52.34240376","12.99636698"
150722,7.63,"52.34240604","12.99635467"
150723,7.61,"52.34240834","12.99634267"
150724,7.56,"52.34241072","12.99633070"
150725,7.55,"52.34241283","12.99631836"
150726,7.54,"52.34241499","12.99630600"
150727,7.5,"52.34241714","12.99629373"
150727,7.52,"52.34241714","12.99629373"
150729,7.49,"52.34242151","12.99626911"
