Depth;1;2
0.5;1.8;1.7
0.65;1.7;
1.2;1.7;
1.25;;1.7
2;;1.7
2.05;1.7;
2.75;;1.7
2.95;1.7;
3.6;1.7;
3.95;;2.1
4.35;;2.5
4.4;2;
